s,m,C,C
Time,"Wall thickness","Wall_temperature","Back_wall_temperature"
 2.8300000E+002, 8.0000004E-003, 1.6808403E+002, 9.4865135E+001
 2.8400000E+002, 8.0000004E-003, 1.6830083E+002, 9.5175285E+001
 2.8500000E+002, 8.0000004E-003, 1.6851726E+002, 9.5485107E+001
 2.8600000E+002, 8.0000004E-003, 1.6873331E+002, 9.5794594E+001
 2.8700000E+002, 8.0000004E-003, 1.6894902E+002, 9.6103752E+001
 2.8800000E+002, 8.0000004E-003, 1.6916437E+002, 9.6412582E+001
 2.8900000E+002, 8.0000004E-003, 1.6937933E+002, 9.6721077E+001
 2.9000000E+002, 8.0000004E-003, 1.6959399E+002, 9.7029243E+001
 2.9100000E+002, 8.0000004E-003, 1.6980827E+002, 9.7337067E+001
 2.9200000E+002, 8.0000004E-003, 1.7002219E+002, 9.7644562E+001
 2.9300000E+002, 8.0000004E-003, 1.7023578E+002, 9.7951721E+001
 2.9400000E+002, 8.0000004E-003, 1.7044901E+002, 9.8258545E+001
 2.9500000E+002, 8.0000004E-003, 1.7066187E+002, 9.8565025E+001
 2.9600000E+002, 8.0000004E-003, 1.7087442E+002, 9.8871170E+001
 2.9700000E+002, 8.0000004E-003, 1.7108659E+002, 9.9176979E+001
 2.9800000E+002, 8.0000004E-003, 1.7129840E+002, 9.9482452E+001
 2.9900000E+002, 8.0000004E-003, 1.7150992E+002, 9.9787582E+001
 3.0000000E+002, 8.0000004E-003, 1.7172105E+002, 1.0009238E+002
 3.0100000E+002, 8.0000004E-003, 1.7193184E+002, 1.0039683E+002
 3.0200000E+002, 8.0000004E-003, 1.7214230E+002, 1.0070094E+002
 3.0300000E+002, 8.0000004E-003, 1.7235240E+002, 1.0100470E+002
 3.0400000E+002, 8.0000004E-003, 1.7256216E+002, 1.0130813E+002
 3.0500000E+002, 8.0000004E-003, 1.7277162E+002, 1.0161121E+002
 3.0600000E+002, 8.0000004E-003, 1.7298071E+002, 1.0191396E+002
 3.0700000E+002, 8.0000004E-003, 1.7318945E+002, 1.0221635E+002
 3.0800000E+002, 8.0000004E-003, 1.7339790E+002, 1.0251840E+002
 3.0900000E+002, 8.0000004E-003, 1.7360599E+002, 1.0282011E+002
 3.1000000E+002, 8.0000004E-003, 1.7381374E+002, 1.0312148E+002
 3.1100000E+002, 8.0000004E-003, 1.7402118E+002, 1.0342249E+002
 3.1200000E+002, 8.0000004E-003, 1.7422826E+002, 1.0372317E+002
 3.1300000E+002, 8.0000004E-003, 1.7443500E+002, 1.0402350E+002
 3.1400000E+002, 8.0000004E-003, 1.7464145E+002, 1.0432348E+002
 3.1500000E+002, 8.0000004E-003, 1.7484753E+002, 1.0462312E+002
 3.1600000E+002, 8.0000004E-003, 1.7505328E+002, 1.0492240E+002
 3.1700000E+002, 8.0000004E-003, 1.7525873E+002, 1.0522134E+002
 3.1800000E+002, 8.0000004E-003, 1.7546384E+002, 1.0551994E+002
 3.1900000E+002, 8.0000004E-003, 1.7566859E+002, 1.0581818E+002
 3.2000000E+002, 8.0000004E-003, 1.7587308E+002, 1.0611608E+002
 3.2100000E+002, 8.0000004E-003, 1.7607721E+002, 1.0641363E+002
 3.2200000E+002, 8.0000004E-003, 1.7628101E+002, 1.0671082E+002
 3.2300000E+002, 8.0000004E-003, 1.7648451E+002, 1.0700768E+002
 3.2400000E+002, 8.0000004E-003, 1.7668767E+002, 1.0730418E+002
 3.2500000E+002, 8.0000004E-003, 1.7689049E+002, 1.0760033E+002
 3.2600000E+002, 8.0000004E-003, 1.7709303E+002, 1.0789613E+002
 3.2700000E+002, 8.0000004E-003, 1.7729523E+002, 1.0819158E+002
 3.2800000E+002, 8.0000004E-003, 1.7749709E+002, 1.0848669E+002
 3.2900000E+002, 8.0000004E-003, 1.7769867E+002, 1.0878144E+002
 3.3000000E+002, 8.0000004E-003, 1.7789990E+002, 1.0907584E+002
 3.3100000E+002, 8.0000004E-003, 1.7810081E+002, 1.0936989E+002
 3.3200000E+002, 8.0000004E-003, 1.7830144E+002, 1.0966359E+002
 3.3300000E+002, 8.0000004E-003, 1.7850171E+002, 1.0995694E+002
 3.3400000E+002, 8.0000004E-003, 1.7870168E+002, 1.1024994E+002
 3.3500000E+002, 8.0000004E-003, 1.7890135E+002, 1.1054258E+002
 3.3600000E+002, 8.0000004E-003, 1.7910069E+002, 1.1083488E+002
 3.3700000E+002, 8.0000004E-003, 1.7929971E+002, 1.1112682E+002
 3.3800000E+002, 8.0000004E-003, 1.7949846E+002, 1.1141841E+002
 3.3900000E+002, 8.0000004E-003, 1.7969687E+002, 1.1170965E+002
 3.4000000E+002, 8.0000004E-003, 1.7989494E+002, 1.1200053E+002
 3.4100000E+002, 8.0000004E-003, 1.8009276E+002, 1.1229107E+002
 3.4200000E+002, 8.0000004E-003, 1.8029022E+002, 1.1258125E+002
 3.4300000E+002, 8.0000004E-003, 1.8048738E+002, 1.1287109E+002
 3.4400000E+002, 8.0000004E-003, 1.8068425E+002, 1.1316056E+002
