Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
103,35527.0920,4.47e+12,8.90e+13,1.84e+13,1.0,0.0,1047.2585317782405,2765.927873281448,0.09515428666241194,0.3531723196309142,3.14e+05,1.85e+05,2.80e+05,254576.78102122305,319164.29358472605,712221.7503839633,22629.561380078318,100000000.0,0.00011256664355263172,0.452956469045178,0.44267233736559,0.42474117626127933,0.9429379427347954,0.94,0.2928764666102971,0.21011849868482663,9.432225368109365e-05,0.0003717415579399549,1.7420840540620959,1.0390383033635324,5.838076371548125,0.0,0.0,0.0,1683.0,1235.0,
104,35755.2470,4.49e+12,8.75e+13,1.81e+13,1.0,0.0,1046.8751676835338,2763.9221985516206,0.09599128504894419,0.3621912562830869,3.18e+05,1.85e+05,2.86e+05,257735.46223198695,319426.9954815727,717824.794775047,22413.201672252577,100000000.0,0.00011256386108242375,0.4685930792729168,0.44267540530073135,0.4214204522532583,0.9427469110178974,0.94,0.29275837067133825,0.20931477971517276,9.456799088588142e-05,0.0003740952746751435,1.7826404237835478,1.0356789220796032,5.766395468188474,0.0,0.0,0.0,1683.0,1235.0,
105,35997.1470,4.47e+12,8.68e+13,1.78e+13,1.0,0.0,1046.9951006391739,2741.229350312547,0.0956035191720544,0.3635988948701079,3.16e+05,1.85e+05,2.87e+05,259106.9725701742,319177.5381440366,728300.6951592608,22215.698145841852,100000000.0,0.00011256194251006241,0.475807075044634,0.44267434950873374,0.4163967544584847,0.9426918365892902,0.94,0.29281749215231445,0.20696474790096347,9.436769493740698e-05,0.0003741980445286364,1.8349812300673025,1.0382810174583705,5.842328809425762,0.0,0.0,0.0,1683.0,1235.0,
106,36252.3050,4.48e+12,8.60e+13,1.76e+13,1.0,0.0,1046.9173562378837,2743.090510575301,0.0958443054451047,0.3718549462852402,3.19e+05,1.85e+05,2.89e+05,258381.0327685029,319312.55867112544,736452.4695236008,22151.462418244955,100000000.0,0.00011255982212238648,0.48708896648253386,0.4426787162027246,0.4120454133104624,0.9424757797202228,0.94,0.2928517461329426,0.20601227810303477,9.425352626585107e-05,0.00037693237764632173,1.8517164613808896,1.0380115379772037,5.830689922122247,0.0,0.0,0.0,1683.0,1235.0,
107,36511.7770,4.50e+12,8.51e+13,1.74e+13,1.0,0.0,1046.46765619507,2755.086239184766,0.09646779443319156,0.37938615674330706,3.25e+05,1.85e+05,2.95e+05,260768.03159380174,319387.7221654869,738776.3324712785,22024.09094619297,100000000.0,0.00011255803638733557,0.49835374573908553,0.4426781239059077,0.41145180661215075,0.9424556911370943,0.94,0.29275662736225583,0.20563951176238016,9.433191568271264e-05,0.00037975099166442754,1.8844100482952482,1.0358636559905494,5.7832685576661,0.0,0.0,0.0,1683.0,1235.0,
108,36884.6130,4.53e+12,8.44e+13,1.72e+13,1.0,0.0,1046.0617381592479,2759.1031992503194,0.09716786725668364,0.38473612185417194,3.29e+05,1.85e+05,2.98e+05,262025.6640548113,319394.8736783513,742328.2822999661,21893.56179589952,100000000.0,0.00011255554044126912,0.508038221030714,0.44267585442068946,0.4099341163777461,0.942492885744322,0.94,0.2926436703876844,0.20516932224998638,9.44840241195421e-05,0.0003813950045518733,1.9032956106591095,1.034522565380339,5.750096587190113,0.0,0.0,0.0,1683.0,1235.0,
109,37241.7980,4.56e+12,8.30e+13,1.69e+13,1.0,0.0,1045.817659402036,2750.7348438517943,0.09749640608027733,0.39648667326200826,3.34e+05,1.85e+05,3.04e+05,264659.07199532323,319412.58787409443,756068.1664317104,21607.89454017429,100000000.0,0.00011255337209216013,0.5270939323177181,0.44267689012570965,0.40212030372372254,0.9424506214887571,0.94,0.2925780420197902,0.2026497966799718,9.454444180162407e-05,0.00038522560000337977,1.9671044112019982,1.034614735285876,5.7393659307965414,0.0,0.0,0.0,1683.0,1235.0,
110,37612.5910,4.57e+12,8.27e+13,1.69e+13,1.0,0.0,1044.9192512603681,2778.7844647848265,0.0984374646223515,0.39803183717384305,3.38e+05,1.85e+05,3.06e+05,265419.61197181523,319266.191656955,749198.0593123634,21638.88714431355,100000000.0,0.00011255193427492556,0.5276477789897625,0.44267391310800164,0.40956373453417094,0.9427561581939194,0.94,0.2923269960027689,0.20395148610750072,9.47623846771365e-05,0.00038628927454202903,1.958821070324239,1.0297669354287016,5.6879422642911,0.0,0.0,0.0,1683.0,1235.0,
111,37977.4870,4.59e+12,8.14e+13,1.64e+13,1.0,0.0,1045.1227630863877,2758.6983670919562,0.0984364449102014,0.41061435808166635,3.45e+05,1.85e+05,3.13e+05,268756.297563021,319322.5987846251,763015.9993292582,21318.289555378266,100000000.0,0.00011254952892927623,0.5479026583500876,0.44267309254789156,0.3996150965912289,0.942701076075216,0.94,0.2924363863706202,0.20150447675765312,9.46154194526835e-05,0.0003888650735084909,2.0373799373426724,1.0323530207007323,5.718656344110835,0.0,0.0,0.0,1683.0,1235.0,
112,38332.5902,4.65e+12,7.99e+13,1.62e+13,1.0,0.0,1043.7494398808492,2779.920552883548,0.09991715229513712,0.42452235463989707,3.55e+05,1.85e+05,3.22e+05,273285.29643424565,319190.8658785053,767097.5897989807,21036.982582849007,100000000.0,0.00011254643447616411,0.5711816146891924,0.4426742962291732,0.39864605173331913,0.9429624812488441,0.94,0.29199120334633594,0.20111376264630892,9.515773851966503e-05,0.00039247933883048076,2.09073637356469,1.0239338950823658,5.610078541261499,0.0,0.0,0.0,1683.0,1235.0,
