s,m,,1/s,W/m2/K,C,C
Time,"Wall thickness","mpua","mlrpua","Front HTC","Front T","Back T"
 1.2400000E+002, 7.9998141E-003, 9.9995482E-001, 2.9446692E-006, 1.5000000E+001, 2.8411365E+002, 1.1267701E+002
 1.2500000E+002, 7.9998011E-003, 9.9995172E-001, 3.1212664E-006, 1.5000000E+001, 2.8486258E+002, 1.1378915E+002
 1.2600000E+002, 7.9997871E-003, 9.9994838E-001, 3.3068779E-006, 1.5000000E+001, 2.8560648E+002, 1.1490042E+002
 1.2700000E+002, 7.9997731E-003, 9.9994487E-001, 3.5017868E-006, 1.5000000E+001, 2.8634564E+002, 1.1601075E+002
 1.2800000E+002, 7.9997573E-003, 9.9994117E-001, 3.7064124E-006, 1.5000000E+001, 2.8708060E+002, 1.1712006E+002
 1.2900000E+002, 7.9997415E-003, 9.9993724E-001, 3.9212441E-006, 1.5000000E+001, 2.8781079E+002, 1.1822830E+002
 1.3000000E+002, 7.9997238E-003, 9.9993312E-001, 4.1465855E-006, 1.5000000E+001, 2.8853677E+002, 1.1933544E+002
 1.3100000E+002, 7.9997052E-003, 9.9992871E-001, 4.3829568E-006, 1.5000000E+001, 2.8925848E+002, 1.2044141E+002
 1.3200000E+002, 7.9996865E-003, 9.9992412E-001, 4.6307687E-006, 1.5000000E+001, 2.8997577E+002, 1.2154617E+002
 1.3300000E+002, 7.9996660E-003, 9.9991924E-001, 4.8904103E-006, 1.5000000E+001, 2.9068903E+002, 1.2264962E+002
 1.3400000E+002, 7.9996446E-003, 9.9991405E-001, 5.1624479E-006, 1.5000000E+001, 2.9139828E+002, 1.2375177E+002
 1.3500000E+002, 7.9996213E-003, 9.9990863E-001, 5.4473721E-006, 1.5000000E+001, 2.9210345E+002, 1.2485256E+002
 1.3600000E+002, 7.9995971E-003, 9.9990284E-001, 5.7456705E-006, 1.5000000E+001, 2.9280432E+002, 1.2595194E+002
 1.3700000E+002, 7.9995720E-003, 9.9989682E-001, 6.0577245E-006, 1.5000000E+001, 2.9350156E+002, 1.2704984E+002
 1.3800000E+002, 7.9995450E-003, 9.9989039E-001, 6.3842604E-006, 1.5000000E+001, 2.9419470E+002, 1.2814626E+002
 1.3900000E+002, 7.9995170E-003, 9.9988371E-001, 6.7256728E-006, 1.5000000E+001, 2.9488419E+002, 1.2924115E+002
 1.4000000E+002, 7.9994872E-003, 9.9987662E-001, 7.0826518E-006, 1.5000000E+001, 2.9556998E+002, 1.3033447E+002
 1.4100000E+002, 7.9994565E-003, 9.9986917E-001, 7.4557356E-006, 1.5000000E+001, 2.9625217E+002, 1.3142615E+002
 1.4200000E+002, 7.9994230E-003, 9.9986130E-001, 7.8455350E-006, 1.5000000E+001, 2.9693039E+002, 1.3251619E+002
 1.4300000E+002, 7.9993885E-003, 9.9985307E-001, 8.2525139E-006, 1.5000000E+001, 2.9760547E+002, 1.3360455E+002
